测试套/软件包名,测试用例名,状态,日志文件,原因
os-basic,oe_test_catman,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_catman/2023-04-28-03:30:09.log,可能是测试套问题， x86 和 riscv 原因基本一致 [详细分析](./cause_md/os-basic/oe_test_catman.md)
,oe_test_system_log_recorded,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_system_log_recorded/2023-04-28-04:12:23.log,测试套问题， x86 和 riscv 原因基本一致 [详细分析](./cause_md/os-basic/oe_test_system_log_recorded.md)
audit,oe_test_audit_available_disk_space,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_available_disk_space/2023-05-25-22_51_28.log,测试套问题， x86 和 riscv 原因基本一致，[详细分析](./cause_md/audit/oe_test_audit_available_disk_space.md)
,oe_test_audit_count_number_of_event,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_count_number_of_event/2023-05-25-22_37_18.log,测试套问题， x86 和 riscv 原因基本一致，[详细分析](./cause_md/audit/oe_test_audit_count_number_of_event.md)
,oe_test_audit_count_time,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_count_time/2023-05-25-22_37_08.log,测试套问题， x86 和 riscv 原因基本一致，[详细分析](./cause_md/audit/oe_test_audit_count_number_of_event.md)
,oe_test_audit_event_log,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_event_log/2023-05-25-22_57_47.log,测试套问题， x86 和 riscv 原因基本一致，[详细分析](./cause_md/audit/oe_test_audit_available_disk_space.md)
,oe_test_audit_fetch_file_in_order,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_fetch_file_in_order/2023-05-25-22_36_21.log,测试套问题， x86 和 riscv 原因基本一致，[详细分析](./cause_md/audit/oe_test_audit_fetch_file_in_order.md)
,oe_test_audit_max_log_file_ignore,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_max_log_file_ignore/2023-05-25-22_40_37.log,测试套问题， x86 和 riscv 原因基本一致，[详细分析](./cause_md/audit/oe_test_audit_max_log_file_ignore.md)
,oe_test_audit_max_log_file_keep_logs,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_max_log_file_keep_logs/2023-05-25-22_50_35.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_max_log_file_rotate,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_max_log_file_rotate/2023-05-25-22_39_42.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_max_log_file_suspend,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_max_log_file_suspend/2023-05-25-22_49_20.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_max_log_file_syslog,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_max_log_file_syslog/2023-05-25-22_48_03.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_monitor_dictionary_access,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_monitor_dictionary_access/2023-05-25-22_33_01.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_monitor_do_command,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_monitor_do_command/2023-05-25-22_33_36.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_monitor_file_access,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_monitor_file_access/2023-05-25-22_02_54.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_monitor_network_visit,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_monitor_network_visit/2023-05-25-22_34_21.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_monitor_system_use,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_monitor_system_use/2023-05-25-22_33_17.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_other,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_other/2023-05-25-22_58_00.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_rule_conflict_strategy,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_rule_conflict_strategy/2023-05-25-22_35_47.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_rule_contact_strategy,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_rule_contact_strategy/2023-05-25-22_35_13.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_rule_fetch_from_rule,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_rule_fetch_from_rule/2023-05-25-22_36_08.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_show_event_list,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_show_event_list/2023-05-25-22_37_30.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_track_designated_access,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_track_designated_access/2023-05-25-22_34_36.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_use_d_audit,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_use_d_audit/2023-05-25-22_34_47.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_use_w_audit,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_use_w_audit/2023-05-25-22_35_01.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_audit_user_build_connection,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_user_build_connection/2023-05-25-22_37_42.log,测试套问题， x86 和 riscv 原因基本一致，[详细分析](./cause_md/audit/oe_test_audit_user_build_connection.md)
,oe_test_aulastlog,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_aulastlog/2023-05-25-22_58_53.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
,oe_test_inject_time_fault,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_inject_time_fault/2023-05-25-22_55_53.log,测试套问题， x86 和 riscv 原因基本一致，依赖 audit 软件包，但是它在 x86 和 riscv 均没有预装；依赖 service 命令，但是它在 riscv 没有预装
